name,highway,shape_length
Malad Creek,unclassified,6114.16931813565
Victoria Dock,unclassified,2752.52112736416
Mumbai,unclassified,2822.990374136735
Badaruddin Tayabji Marg,unclassified,370.359188854116
Sion Panvel Highway,trunk,357.867257720174
Veer Savarkar Road,tertiary,1153.9879171217
Sarojini Naidu Road,unclassified,1160.04453735177
Road No 2,unclassified,230.27366737187498
Nana Palshikar Marg,unclassified,681.719305498801
Padmavathi Devi Marg,unclassified,270.845564631955
Jain Mandir Road,residential,256.518215494778
Ramakant Kadam Road,unclassified,2107.95813714912
Main Gate Road,residential,105.666442059972
Seth Govindram Jolly Marg,tertiary,283.634835973562
P. Godrej Marg,tertiary,245.15761350207654
High Street,unclassified,803.532896215981
Orchard Avenue,tertiary,516.625171015258
Jethalal Parekh Road,path,307.2563875632574
Janata Society Road,unclassified,407.069966996846
Ratilal Mehta Marg,tertiary,1728.54890467842
Deonar Village Road,tertiary,1643.89124499229
Din Quarry Road,unclassified,1097.3740378411
Central Avenue,tertiary,631.8138209142965
CIVIC Central Road,unclassified,1016.950867979129
Central Avenue New Mandala Road,tertiary,3520.4519502057665
Homi Modi Street,living_street,175.09431231962824
Amit Keshav Nayak Marg,unclassified,562.624281781925
M K Amin Marg,living_street,77.1034533798345
Jeejeebhoy Dadabhoy Lane,living_street,188.649690633501
Currimbhoy Road,residential,140.593067594816
Viju Kotak Marg,residential,322.377552692689
Kumtha Street,residential,307.829688172494
Adi Murzban Path,residential,227.879237159543
Store Lane,living_street,81.6234322633357
Green Street,unclassified,182.018227394901
M Mehta Road,living_street,58.9675177101575
Gola Lane,living_street,114.043180312606
Modi Street,living_street,555.188580835179
Bora Bazaar Street,living_street,506.72030497449
Calicut Street,residential,230.344484196422
Homji Street,residential,231.069682284862
Agiary Lane,living_street,193.501266473024
Mangesh Shenoy Street,living_street,131.352679652379
Jivaji Lane,living_street,70.0219208412549
Police Court Lane,living_street,117.19474019483755
Ramjibhai Kamani Road (Nichol Road),unclassified,485.4620061438215
J N Heredia Road,residential,436.158158169002
Wallace Street,residential,193.305256239406
Sayed Abdullah Brevli Road,unclassified,200.549798891249
M Shakoor Marg,living_street,120.520426382436
Janmabhoomi Marg,living_street,295.614495243163
N Sukhia Street,living_street,117.632167676426
D Das Lane,living_street,126.4009671597
Boman Behram Road (Mere Weather Road),residential,33.7467879246001
Raghunath Dadaji Street,unclassified,194.095560661798
Brihanmumbai Mahanagarpalika 'A' Ward Offices,living_street,120.343928179533
Bread Market Lane,living_street,75.459039758084
Nyayamurty G N Vidya Road,residential,247.881718075936
Cawasji Patel Street,unclassified,363.720067446498
S Bahl Path,residential,331.424157608425
D Sukhadwala Road,residential,263.284034734314
Rustom Sidhwa Marg,unclassified,337.683915405231
Cochin Street,residential,238.033045815095
Kaikhushru Dubash Marg,tertiary,200.44357337495654
Walchand Hirachand Road (Fort Street),primary,428.765620257636
Walchand Hirachand Road,unclassified,215.646982823143
Shoorji Vallabhdas Road (Ballard Road),tertiary,370.62309488722
Sir Pherozeshah Mehta Road,tertiary,564.63844803962
Horniman Circle,residential,467.403121260439
BEST Marg,unclassified,502.035652047471
Nagindas Master Road,residential,175.464229908278
Sitaram Deora Marg,residential,390.432371358806
Pandit Shobhnath Mishra Marg,residential,352.19510353191
Dinshaw Wachha Road,unclassified,704.983062225872
Mahakavi Bhushan Road (Lansdowne Road),unclassified,194.658502736058
Ambalal Doshi Road,living_street,221.542799073202
Anandilal Podar Marg,secondary,176.1636948821405
Banaji Street,living_street,182.504216425782
Dr V B Gandhi Road (Forbes Street),unclassified,272.897494739103
Tullock Road,residential,130.596374542782
Stevens Street,unclassified,105.401970604376
Road No 3,unclassified,259.1936026719895
Dinshaw Mulla Road (Marine Lines),unclassified,153.657104062156
Charanjit Rai Road,residential,279.318997012067
Burjorji Bharucha Road,living_street,154.514146814331
Abdul Razak Allana Marg,living_street,106.74596229677
Cross Road No 2,residential,472.5615408611285
G Road (MGCM Anuvrat Marg),tertiary,231.270377267998
P Mandal Marg,unclassified,242.953001392676
Mandlik Road,unclassified,152.421554642041
Nana Bhai Lane,living_street,82.7377068304605
Rutherfield Street,unclassified,60.4339200253779
Babubahi M. Chinai Road,unclassified,229.166968287872
Pitha Street,living_street,117.211821303207
Cross Road No 1,residential,231.2947433283295
Nowroji Ferdonji Street,residential,157.915884681369
Boman Behram Road (Mere Weather Road)/Shri Boman Kawasji Boman Behram Marg (Mere Weather Road),residential,642.727867635182
G Talwarkar Marg,unclassified,143.592970570885
NCPA Marg,unclassified,237.310867910498
M P Shetty Marg,living_street,108.076215860288
JD Daruwala Marg,unclassified,166.408601216651
Rope Walk Street,living_street,84.0089978781244
Purshottamdas Thakurdas Marg,unclassified,286.089870687144
JTS Malani Marg,residential,295.138087016618
Battery Street,unclassified,98.6245267142357
Maharashtra Chamber of Commerce Lane,unclassified,170.718721078079
Maharshi Dadhichi Marg,tertiary,233.636393115038
Convent Street,unclassified,138.613279575376
Homi Modi Street 2nd Cross Lane,living_street,157.615918853369
U A H Khan Marg,unclassified,165.955298698569
Mupanna P Shetty Marg,living_street,204.658778542874
Vidhan Bhavan Cross Road,residential,153.904870000992
Freedom Fighter Ramnanth Goenka Marg,unclassified,134.762655108343
N Thackersey Road (Carnegy Road),unclassified,85.2418226280778
Ash Lane,living_street,78.2399153793471
University Road,unclassified,209.199973353198
PM Shukla Marg,residential,323.875829962826
Bombay Hospital Avenue,unclassified,249.346238384411
D Road,residential,322.552234347494
Sir Dorab Tata Road,residential,290.2133827851435
Jeevan Bima Road,residential,237.0147937398585
Cooperage Road,unclassified,398.935048219058
Maharshi Karve Road,secondary,713.1018100988365
Vidhan Bhavan Marg,unclassified,298.33525008035
Nanik Motawani Marg,living_street,121.869877952511
Karmaveer Bhaurao Patil Road,secondary,142.982713618505
Free Press Journal Road,tertiary,236.461975728653
Dr Shyama Prasad Mukherjee Chowk,primary,263.478234913166
Rajendra Venkateshwara Rao Marg,unclassified,156.4818144720092
Jagannath Bhosle Road,secondary,732.469676240761
Nathalal M. Parikh Road,tertiary,892.380917380708
V Desai Marg,residential,206.476769848879
Henry Road,residential,270.929240044035
Fourth Pasta Lane,unclassified,171.815272847772
Rambhau Salgaonkar Road,residential,138.82611007081152
Pestonji Lane,residential,107.372365037185
Garden Road,unclassified,322.294779545738
N Sawant Road,residential,146.3067633756985
Indumati Sakrikar Marg,unclassified,189.179102725579
Wodehouse Rd,secondary,109.449509232315
Bhaskar Rao Kargutkar Marg,residential,256.840663790936
Dumayne Marg,residential,501.571022253721
Lala Ningam Road,residential,291.7280974672965
Panday Marg,residential,116.796197033474
Nathalal Parikh Road,secondary_link,49.1737227022068
Brahma Kumari Road,residential,134.19049674978
W G Union Road,residential,209.678834711305
Harbour Heights service road,service,205.449078148128
S Vaswani Road,tertiary,272.6033231515936
First Pasta Lane,residential,175.943266390583
S Bharucha Marg,residential,286.345111236367
Walton Road,residential,175.514472923174
Rajwadkar Street,residential,282.473119793282
Second Pasta Lane,unclassified,155.304982246585
Justice Devshankar V Vyas Marg,residential,214.899065148745
G Sawant Marg,unclassified,162.128935373986
Shri Haji Niyaz Ahmed Azmi Marg,residential,304.513867510675
Cowasji Jahangir Road,residential,117.137921942039
Strand Road,residential,235.235662948052
GD Somani Road,tertiary,717.381106890843
Apollo Bandar Road/P J Ramchandani Marg (Strand Raod),tertiary,507.178670865415
Nanabhai Moos Marg,secondary,1110.9022421407615
Mahul Road,tertiary,725.3451616254255
Mysore Colony Connector,residential,147.507285427992
Choitram Gidwani Marg (Kolwada Borla Road),secondary,1901.60343898505
Scheme 57 Road no.1A,residential,131.469922451117
I D Bhuva Road,residential,298.151898806313
Road No 14,residential,339.122319040291
Barkat Ali Dargah Road,tertiary,503.461161415938
Salt Pan Road,unclassified,835.489487652923
Scheme 57 Road no.14A,residential,643.838718066443
Road No 32,residential,550.181258381607
G Dardi Marg,residential,362.854831661162
Road No 32A,residential,108.102906134477
L Kasbe Marg,residential,310.064008521266
Road No 29,residential,730.5331580667586
Mahatma Gandhi Road,secondary,546.428565726098
MG Road,secondary,546.428565726098
Road No 27,residential,307.760194663192
Puranmal Singhani Road,unclassified,400.027849444746
P B Sule Marg,residential,435.32023015874
Road No 28A,residential,506.873482967125
Road No 15,residential,235.783707545704
Road No 28B,residential,135.949033065579
Road No 16,primary,231.246993731896
R Jaimal Yagnik Road,residential,529.750517764866
Chidambaram Marg,residential,345.212293050104
J K Bhasin Marg,residential,485.460681951365
Road No 8,unclassified,410.983374769457
Road No 13,residential,367.092468164258
Sion Circle Flyover,trunk,1260.86716417092
M P T Road,unclassified,599.375606723692
N Phadnavis Flyover,primary,354.7792546160095
G.D. Ambedkar Marg,tertiary,826.817426854963
B J Deorukhkar Marg,unclassified,612.875431386197
Govindji Keni Road,residential,228.82150936478948
Sewri Cemetery Road,unclassified,180.032925303217
Sewri Cross Road,unclassified,760.6495553384345
Sriram Tekdi Road,unclassified,434.119736432648
Sewri Koliwada Road,tertiary,380.7301734616375
Parel Bhowada Street,residential,111.565598482155
Jivraj Road,tertiary,291.07898900424846
T Jivraj Road,tertiary,1392.88835863896
Slanjekar Path,unclassified,411.578600709089
M G Vasahat Marg,unclassified,371.899492229583
Eknath Ghadi Marg,unclassified,203.335663125591
Jerbai Wadia Marg,secondary,1764.56070458523
Elphinstone Bridge,secondary,341.52145619733153
V V D Buva Road,residential,759.237841758396
Jyotiba Phule Marg,residential,757.179793677618
Marg No 2,unclassified,130.533597384232
Parsee Colony Road No 4,residential,282.813893385753
Road No 37,unclassified,150.019170543889
Balaram Khedekar Marg,residential,560.5360682768921
Jain Derasar Road,residential,378.270660365543
P Pednekar Marg,unclassified,240.654011789137
Road No 19,unclassified,203.18725661564
Road No 5,residential,310.6740230387075
Parsee Colony Road No 5,residential,132.996835465517
Scheme 5 Road no.5,residential,198.956843273847
Scheme 5 Road no.4,residential,225.491945140641
Lady Jehangir Road,residential,230.56940592746702
Scheme 5 Road no.3,residential,224.431572045107
Dinshaw Master Road,residential,335.463672260926
Marg No 1,unclassified,218.302630675989
Khareghat Road,residential,149.870691665809
Scheme 5 Road no.2,residential,223.427451437205
Rustom Tirandaz Marg,residential,199.441810142172
Rajaram Keshav Vaidya Marg,residential,383.32463669812
Sir Bhalchandra Road,residential,361.804615957343
Jame Jamshed Road,residential,286.84159797558135
R K Parekh Road,residential,275.481024170023
Road no.10,residential,228.304551272426
Dr Ghanti Road,residential,301.098314378588
Parsee Colony Road No.13,residential,173.449538282305
D V Pradhan Road,residential,222.462021593868
Jehangir Vimadalal Road,residential,229.971947200604
Hormusji Adenwala Road,residential,772.886574026033
Mancherji Joshi Road,residential,316.6545705600938
Firdosi Road,residential,288.463552075231
D S Baretto Road,unclassified,248.614431259798
Swami Gyan Jiwandas Marg,tertiary,194.30396459279106
Road No 26,tertiary,660.662827986337
Khodadad Circle,trunk,314.801455478376
Tilak Road Extension,tertiary,524.305480319432
Katrak Road,secondary,680.632152869221
Saint Paul Marg,unclassified,242.706753561419
V R C Bhide Marg,service,274.418045354568
Chhabildas Road,pedestrian,89.14732868082385
M Sanghi Marg,unclassified,162.064604289031
Ranade Road Extension,pedestrian,237.10333226032
N.M. Kale Marg,unclassified,882.208613186532
Dr D'Silva Marg,residential,248.998851035614
Abaji Marg,unclassified,171.494560274777
S S Wagh Road (Morbaugh Road),unclassified,574.180194017519
Kakasaheb Gadgil Marg,unclassified,492.15943829550156
Matkar Marg,unclassified,449.908432914664
Prof V.S. Agashe Marg,tertiary,600.064428941224
"K,W, Chitale Marg",residential,358.612712474634
S L Matkar Road,unclassified,279.0295447347475
J Bhatankar Marg,secondary,324.754702428863
S M Jadhav Road (Road No 2),residential,499.293720726769
D Vachanalaya Marg,footway,131.063056268019
Dr Narayan Joshi Rd,unclassified,210.442704753041
Moreshwar Chintaman Jawle Marg,pedestrian,198.558308077415
Madhavdas Pasta Marg,residential,286.365814713699
D Raul Marg,unclassified,409.07996894264
G Maharaj Marg,unclassified,153.566377684668
Baburao Parulekar Marg,unclassified,267.9682040099825
Mumbai Marathi Granth Sangrahalaya Marg,tertiary,445.0225911894015
Raobahadur S.K. Bole Marg,tertiary,337.38592109151796
Dadasaheb Phalke Marg,tertiary,1162.67337251044
Tilak Road,primary,277.434761316745
Gokhale Road,primary,517.113331406883
Balshet Madurkar Marg,unclassified,413.03811516391954
Chamarbaug Wala Road,unclassified,314.375338967232
Aimai Merwanji Street,unclassified,296.364123967532
P Guruji Street,unclassified,286.690409176848
Shirodkar Marg,unclassified,456.676505854273
